merchant_id,state,business_segment,city_tier,acquisition_channel,onboard_date,qr_ready,first_txn,active_7d,retained_30d,high_frequency,device_deployed,qr_ready_date,first_txn_date,active_7d_date,retained_30d_date,device_deployed_date
M000077,Telangana,Fashion/Retail,Tier 2,Field sales,2025-10-29,0,0,0,0,0,0,,,,,
M000078,Rajasthan,Pharmacy,Tier 3+,Field sales,2025-09-21,1,0,0,0,0,0,2025-09-21,,,,
M000079,Rajasthan,Kirana/Grocery,Tier 2,Referral,2026-01-23,1,1,0,0,0,0,2026-01-24,2026-01-23,,,
M000080,Karnataka,Food & Beverage,Tier 1,Organic QR,2026-03-02,1,1,1,1,0,0,2026-03-03,2026-03-06,2026-03-10,2026-03-24,
M000081,Karnataka,Food & Beverage,Tier 2,Organic QR,2026-06-09,1,1,1,1,1,1,2026-06-11,2026-06-10,2026-06-17,2026-07-06,2026-08-11
M000082,Maharashtra,Food & Beverage,Tier 2,Partner,2025-12-07,1,1,1,0,0,0,2025-12-08,2025-12-14,2025-12-12,,
M000083,Rajasthan,Kirana/Grocery,Tier 2,Field sales,2025-08-28,1,0,0,0,0,0,2025-08-30,,,,
M000084,Madhya Pradesh,Kirana/Grocery,Tier 3+,Online,2026-04-30,1,1,1,1,1,0,2026-05-01,2026-04-30,2026-05-03,2026-05-27,
M000085,Bihar,Kirana/Grocery,Tier 1,Partner,2026-02-15,1,1,1,0,0,0,2026-02-16,2026-02-19,2026-02-20,,
M000086,Telangana,Kirana/Grocery,Tier 3+,Field sales,2026-03-13,1,0,0,0,0,0,2026-03-14,,,,
M000087,Karnataka,Kirana/Grocery,Tier 1,Organic QR,2025-08-05,0,0,0,0,0,0,,,,,
M000088,Uttar Pradesh,Fashion/Retail,Tier 3+,Field sales,2025-10-23,1,0,0,0,0,0,2025-10-24,,,,
M000089,Uttar Pradesh,Services,Tier 1,Online,2026-04-07,1,0,0,0,0,0,2026-04-09,,,,
M000090,West Bengal,Food & Beverage,Tier 2,Organic QR,2026-04-30,1,1,1,1,1,1,2026-05-01,2026-05-01,2026-05-09,2026-05-23,2026-07-15
M000091,Madhya Pradesh,Services,Tier 2,Online,2025-12-06,1,1,1,1,0,0,2025-12-07,2025-12-06,2025-12-14,2025-12-30,
M000092,West Bengal,Services,Tier 2,Online,2026-04-20,1,1,1,0,0,0,2026-04-21,2026-04-24,2026-04-27,,
M000093,Madhya Pradesh,Kirana/Grocery,Tier 1,Organic QR,2026-05-04,0,0,0,0,0,0,,,,,
M000094,West Bengal,Kirana/Grocery,Tier 3+,Partner,2025-11-19,1,0,0,0,0,0,2025-11-20,,,,
M000095,Uttar Pradesh,Kirana/Grocery,Tier 2,Organic QR,2026-05-24,1,1,1,0,0,0,2026-05-25,2026-05-26,2026-05-31,,
M000096,Maharashtra,Services,Tier 3+,Field sales,2025-10-14,0,0,0,0,0,0,,,,,
M000097,Maharashtra,Food & Beverage,Tier 3+,Online,2025-09-26,1,1,1,1,0,0,2025-09-28,2025-09-30,2025-09-29,2025-10-24,
M000098,Uttar Pradesh,Food & Beverage,Tier 2,Organic QR,2026-03-07,1,1,1,1,1,0,2026-03-08,2026-03-09,2026-03-11,2026-04-04,
M000099,Karnataka,Services,Tier 3+,Online,2026-02-18,0,0,0,0,0,0,,,,,
M000100,Maharashtra,Other,Tier 1,Partner,2025-08-21,1,1,1,1,1,0,2025-08-23,2025-08-24,2025-08-30,2025-09-25,
M000101,West Bengal,Food & Beverage,Tier 2,Field sales,2026-04-30,1,1,0,0,0,0,2026-05-01,2026-05-01,,,
M000102,Karnataka,Services,Tier 2,Organic QR,2025-09-11,1,0,0,0,0,0,2025-09-14,,,,
M000103,West Bengal,Food & Beverage,Tier 3+,Field sales,2026-04-20,1,1,1,1,1,1,2026-04-22,2026-04-25,2026-04-30,2026-05-20,2026-06-07
M000104,Bihar,Pharmacy,Tier 1,Field sales,2025-07-03,0,0,0,0,0,0,,,,,
M000105,Rajasthan,Pharmacy,Tier 2,Partner,2026-04-17,1,1,0,0,0,0,2026-04-18,2026-04-24,,,
M000106,Rajasthan,Pharmacy,Tier 2,Field sales,2026-04-14,1,1,1,1,1,1,2026-04-14,2026-04-14,2026-04-23,2026-05-16,2026-06-28
M000107,Telangana,Kirana/Grocery,Tier 2,Online,2026-04-11,1,1,1,1,1,0,2026-04-12,2026-04-14,2026-04-15,2026-05-15,
M000108,Rajasthan,Food & Beverage,Tier 1,Organic QR,2026-02-28,1,1,1,1,1,1,2026-03-01,2026-03-07,2026-03-10,2026-03-26,2026-03-18
M000109,Karnataka,Fashion/Retail,Tier 2,Organic QR,2025-12-20,0,0,0,0,0,0,,,,,
M000110,West Bengal,Food & Beverage,Tier 3+,Field sales,2026-03-15,1,1,0,0,0,0,2026-03-17,2026-03-22,,,
M000111,Telangana,Other,Tier 1,Field sales,2025-10-10,0,0,0,0,0,0,,,,,
M000112,Karnataka,Food & Beverage,Tier 2,Organic QR,2026-04-11,1,0,0,0,0,0,2026-04-11,,,,
M000113,Bihar,Services,Tier 3+,Field sales,2026-01-19,1,1,1,1,1,0,2026-01-22,2026-01-26,2026-01-25,2026-02-12,
M000114,Rajasthan,Food & Beverage,Tier 3+,Partner,2025-12-15,1,1,1,0,0,0,2025-12-18,2025-12-15,2025-12-21,,
M000115,Uttar Pradesh,Food & Beverage,Tier 1,Organic QR,2026-01-01,1,1,1,1,0,1,2026-01-03,2026-01-08,2026-01-07,2026-01-30,2026-02-14
M000116,Rajasthan,Fashion/Retail,Tier 2,Field sales,2026-01-24,1,1,0,0,0,0,2026-01-26,2026-01-24,,,
M000117,Maharashtra,Kirana/Grocery,Tier 1,Organic QR,2025-07-14,1,1,1,0,0,0,2025-07-15,2025-07-16,2025-07-23,,
M000118,Rajasthan,Services,Tier 3+,Field sales,2025-08-21,1,1,1,1,1,0,2025-08-23,2025-08-24,2025-08-29,2025-09-18,
M000119,Karnataka,Services,Tier 2,Field sales,2025-09-28,1,1,1,0,0,0,2025-09-28,2025-10-05,2025-10-06,,
M000120,Karnataka,Fashion/Retail,Tier 2,Referral,2025-08-11,1,1,1,1,1,1,2025-08-11,2025-08-14,2025-08-14,2025-09-10,2025-10-10
M000121,Maharashtra,Services,Tier 1,Field sales,2025-12-08,1,1,1,0,0,0,2025-12-10,2025-12-13,2025-12-14,,
M000122,Telangana,Other,Tier 2,Field sales,2026-03-01,1,1,0,0,0,0,2026-03-01,2026-03-05,,,
M000123,Telangana,Fashion/Retail,Tier 1,Organic QR,2026-02-24,1,1,1,0,0,0,2026-02-27,2026-02-27,2026-02-28,,
M000124,Uttar Pradesh,Food & Beverage,Tier 3+,Organic QR,2025-12-19,1,1,1,1,0,1,2025-12-21,2025-12-19,2025-12-23,2026-01-20,2026-02-06
M000125,Karnataka,Fashion/Retail,Tier 2,Online,2026-05-09,1,1,0,0,0,0,2026-05-11,2026-05-16,,,
M000126,Karnataka,Other,Tier 2,Referral,2026-01-23,1,1,1,1,1,0,2026-01-26,2026-01-23,2026-01-31,2026-02-21,
M000127,Uttar Pradesh,Kirana/Grocery,Tier 3+,Referral,2025-07-29,1,0,0,0,0,0,2025-07-30,,,,
M000128,Maharashtra,Services,Tier 1,Organic QR,2026-04-06,1,1,1,0,0,0,2026-04-09,2026-04-07,2026-04-12,,
M000129,Bihar,Kirana/Grocery,Tier 1,Organic QR,2026-01-26,0,0,0,0,0,0,,,,,
M000130,West Bengal,Services,Tier 2,Field sales,2026-02-17,1,1,1,1,1,0,2026-02-17,2026-02-23,2026-02-27,2026-03-18,
M000131,Uttar Pradesh,Kirana/Grocery,Tier 3+,Referral,2026-01-23,0,0,0,0,0,0,,,,,
M000132,West Bengal,Pharmacy,Tier 1,Organic QR,2026-01-19,1,0,0,0,0,0,2026-01-22,,,,
M000133,Maharashtra,Food & Beverage,Tier 3+,Field sales,2025-08-03,1,1,1,1,0,0,2025-08-03,2025-08-07,2025-08-07,2025-09-05,
M000134,Maharashtra,Services,Tier 2,Partner,2026-01-21,1,0,0,0,0,0,2026-01-21,,,,
M000135,Bihar,Kirana/Grocery,Tier 2,Referral,2026-04-17,1,1,0,0,0,0,2026-04-19,2026-04-19,,,
M000136,Bihar,Pharmacy,Tier 2,Organic QR,2025-10-19,0,0,0,0,0,0,,,,,
M000137,Madhya Pradesh,Services,Tier 1,Field sales,2026-02-06,1,1,1,0,0,0,2026-02-08,2026-02-07,2026-02-16,,
M000138,Maharashtra,Services,Tier 1,Online,2025-07-12,1,1,1,1,1,0,2025-07-13,2025-07-13,2025-07-17,2025-08-06,
M000139,Bihar,Food & Beverage,Tier 3+,Field sales,2025-11-04,1,1,0,0,0,0,2025-11-04,2025-11-06,,,
M000140,Telangana,Kirana/Grocery,Tier 2,Online,2025-12-07,1,1,1,1,0,1,2025-12-08,2025-12-13,2025-12-15,2025-12-29,2026-02-15
M000141,Telangana,Food & Beverage,Tier 2,Organic QR,2026-06-24,1,1,0,0,0,0,2026-06-25,2026-06-30,,,
M000142,Maharashtra,Other,Tier 3+,Online,2025-09-17,1,1,1,1,0,1,2025-09-17,2025-09-22,2025-09-26,2025-10-08,2025-10-03
M000143,West Bengal,Kirana/Grocery,Tier 1,Online,2025-10-09,1,1,0,0,0,0,2025-10-12,2025-10-14,,,
M000144,Maharashtra,Pharmacy,Tier 2,Organic QR,2025-11-27,1,1,0,0,0,0,2025-11-30,2025-11-29,,,
M000145,Madhya Pradesh,Kirana/Grocery,Tier 2,Referral,2026-06-28,0,0,0,0,0,0,,,,,
M000146,Rajasthan,Pharmacy,Tier 1,Field sales,2026-05-08,1,1,1,1,1,0,2026-05-09,2026-05-13,2026-05-12,2026-05-30,
M000147,Bihar,Kirana/Grocery,Tier 3+,Field sales,2025-07-13,0,0,0,0,0,0,,,,,
M000148,Bihar,Food & Beverage,Tier 3+,Field sales,2025-09-24,1,1,0,0,0,0,2025-09-25,2025-10-01,,,
M000149,Madhya Pradesh,Food & Beverage,Tier 1,Partner,2026-04-26,0,0,0,0,0,0,,,,,
M000150,Karnataka,Kirana/Grocery,Tier 3+,Field sales,2025-07-22,1,1,1,1,0,0,2025-07-22,2025-07-24,2025-07-27,2025-08-14,
M000151,Maharashtra,Food & Beverage,Tier 1,Organic QR,2026-05-09,1,1,1,1,1,0,2026-05-09,2026-05-13,2026-05-14,2026-06-05,
M000152,Rajasthan,Food & Beverage,Tier 3+,Online,2025-10-11,1,1,0,0,0,0,2025-10-11,2025-10-18,,,
M000153,Telangana,Services,Tier 3+,Online,2026-05-31,1,1,1,1,1,0,2026-06-01,2026-06-01,2026-06-09,2026-06-20,
M000154,Maharashtra,Other,Tier 1,Field sales,2025-10-16,1,1,0,0,0,0,2025-10-19,2025-10-19,,,
M000155,Karnataka,Food & Beverage,Tier 2,Organic QR,2025-12-06,1,1,1,1,1,0,2025-12-08,2025-12-11,2025-12-16,2026-01-07,
M000156,Telangana,Other,Tier 3+,Field sales,2026-02-27,0,0,0,0,0,0,,,,,
M000157,Maharashtra,Food & Beverage,Tier 1,Field sales,2025-08-16,1,1,1,1,1,0,2025-08-16,2025-08-18,2025-08-19,2025-09-14,
M000158,Maharashtra,Kirana/Grocery,Tier 2,Online,2026-01-20,1,1,1,1,1,1,2026-01-21,2026-01-20,2026-01-29,2026-02-13,2026-04-04
M000159,West Bengal,Kirana/Grocery,Tier 2,Online,2026-01-01,0,0,0,0,0,0,,,,,
M000160,Telangana,Food & Beverage,Tier 1,Field sales,2026-04-13,1,1,1,1,0,0,2026-04-14,2026-04-14,2026-04-19,2026-05-11,
M000161,West Bengal,Food & Beverage,Tier 1,Field sales,2026-06-29,1,1,0,0,0,0,2026-07-02,2026-07-06,,,
M000162,West Bengal,Fashion/Retail,Tier 1,Organic QR,2026-02-28,1,1,0,0,0,0,2026-03-02,2026-03-02,,,
M000163,Maharashtra,Pharmacy,Tier 3+,Organic QR,2025-11-27,1,1,0,0,0,0,2025-11-29,2025-12-03,,,
M000164,Bihar,Services,Tier 2,Field sales,2025-11-26,1,1,0,0,0,0,2025-11-26,2025-12-02,,,
M000165,Rajasthan,Services,Tier 2,Field sales,2025-11-30,1,1,1,1,0,1,2025-12-01,2025-12-05,2025-12-08,2025-12-21,2025-12-24
M000166,Bihar,Food & Beverage,Tier 1,Organic QR,2026-04-24,1,1,1,1,0,0,2026-04-25,2026-04-26,2026-05-02,2026-05-18,
M000167,Maharashtra,Services,Tier 1,Field sales,2025-10-26,1,1,1,1,1,0,2025-10-29,2025-10-29,2025-11-03,2025-11-22,
M000168,Karnataka,Kirana/Grocery,Tier 2,Referral,2025-08-30,0,0,0,0,0,0,,,,,
M000169,Maharashtra,Kirana/Grocery,Tier 1,Referral,2025-10-31,1,1,1,1,1,1,2025-11-03,2025-11-02,2025-11-09,2025-12-05,2025-11-20
M000170,Rajasthan,Food & Beverage,Tier 2,Organic QR,2025-07-09,1,0,0,0,0,0,2025-07-09,,,,
M000171,West Bengal,Kirana/Grocery,Tier 2,Organic QR,2025-08-08,1,0,0,0,0,0,2025-08-08,,,,
M000172,Rajasthan,Pharmacy,Tier 2,Referral,2025-08-02,1,1,1,1,0,0,2025-08-04,2025-08-05,2025-08-06,2025-09-01,
M000173,Bihar,Kirana/Grocery,Tier 2,Field sales,2026-04-08,0,0,0,0,0,0,,,,,
M000174,West Bengal,Kirana/Grocery,Tier 3+,Online,2026-03-21,1,0,0,0,0,0,2026-03-22,,,,
M000175,Rajasthan,Other,Tier 1,Field sales,2026-03-12,1,1,1,1,1,1,2026-03-14,2026-03-15,2026-03-15,2026-04-09,2026-04-26
M000176,Maharashtra,Other,Tier 3+,Online,2025-12-16,1,1,0,0,0,0,2025-12-17,2025-12-19,,,
M000177,Madhya Pradesh,Food & Beverage,Tier 1,Field sales,2026-03-19,1,1,1,0,0,0,2026-03-20,2026-03-21,2026-03-26,,
M000178,Telangana,Services,Tier 1,Referral,2025-08-28,1,1,1,0,0,0,2025-08-28,2025-08-31,2025-09-06,,
M000179,Maharashtra,Fashion/Retail,Tier 2,Field sales,2026-05-25,1,1,1,1,0,0,2026-05-26,2026-05-29,2026-05-29,2026-06-29,
M000180,Uttar Pradesh,Kirana/Grocery,Tier 1,Referral,2025-12-30,1,1,1,1,0,0,2026-01-02,2026-01-03,2026-01-09,2026-02-03,
M000181,West Bengal,Food & Beverage,Tier 2,Organic QR,2026-06-08,1,1,1,1,1,0,2026-06-10,2026-06-15,2026-06-11,2026-07-06,
M000182,Karnataka,Kirana/Grocery,Tier 3+,Field sales,2025-08-25,1,1,0,0,0,0,2025-08-25,2025-08-26,,,
M000183,Uttar Pradesh,Food & Beverage,Tier 3+,Referral,2025-12-29,1,1,0,0,0,0,2025-12-30,2026-01-05,,,
M000184,Maharashtra,Other,Tier 2,Field sales,2026-03-12,0,0,0,0,0,0,,,,,
M000185,Maharashtra,Pharmacy,Tier 3+,Organic QR,2025-12-28,1,1,1,0,0,0,2025-12-30,2026-01-03,2026-01-01,,
M000186,Maharashtra,Other,Tier 2,Field sales,2025-12-10,0,0,0,0,0,0,,,,,
M000187,Bihar,Pharmacy,Tier 1,Referral,2025-08-30,1,1,1,0,0,0,2025-09-01,2025-09-06,2025-09-09,,
M000188,Madhya Pradesh,Services,Tier 3+,Online,2025-11-17,1,0,0,0,0,0,2025-11-20,,,,
M000189,Maharashtra,Pharmacy,Tier 1,Organic QR,2025-09-26,1,1,1,1,0,0,2025-09-28,2025-10-02,2025-09-29,2025-10-21,
M000190,Karnataka,Services,Tier 1,Referral,2025-10-19,1,1,1,1,1,0,2025-10-22,2025-10-23,2025-10-29,2025-11-13,
M000191,Karnataka,Food & Beverage,Tier 1,Online,2026-03-07,1,1,0,0,0,0,2026-03-10,2026-03-10,,,
M000192,Maharashtra,Kirana/Grocery,Tier 2,Partner,2026-02-16,1,1,0,0,0,0,2026-02-19,2026-02-23,,,
M000193,Uttar Pradesh,Services,Tier 2,Field sales,2026-02-07,1,1,1,1,0,1,2026-02-07,2026-02-13,2026-02-11,2026-03-08,2026-04-22
M000194,Bihar,Kirana/Grocery,Tier 1,Organic QR,2025-11-10,1,1,1,1,1,0,2025-11-11,2025-11-12,2025-11-14,2025-12-12,
M000195,Rajasthan,Food & Beverage,Tier 2,Field sales,2026-06-16,1,0,0,0,0,0,2026-06-17,,,,
M000196,Uttar Pradesh,Kirana/Grocery,Tier 3+,Organic QR,2025-08-01,0,0,0,0,0,0,,,,,
M000197,Uttar Pradesh,Services,Tier 3+,Field sales,2025-11-03,1,1,1,1,1,0,2025-11-03,2025-11-05,2025-11-07,2025-11-27,
M000198,Maharashtra,Kirana/Grocery,Tier 1,Referral,2025-08-13,1,0,0,0,0,0,2025-08-15,,,,
M000199,Maharashtra,Kirana/Grocery,Tier 1,Partner,2025-11-01,0,0,0,0,0,0,,,,,
M000200,West Bengal,Services,Tier 2,Partner,2026-06-17,1,1,1,1,1,1,2026-06-17,2026-06-18,2026-06-26,2026-07-20,2026-07-22
M000201,Bihar,Kirana/Grocery,Tier 1,Field sales,2025-11-11,1,1,1,1,1,0,2025-11-13,2025-11-16,2025-11-15,2025-12-15,
M000202,West Bengal,Other,Tier 2,Field sales,2026-05-28,1,1,1,1,0,0,2026-05-29,2026-06-04,2026-06-04,2026-06-26,
