merchant_id,variant,retained_30d_experiment,support_contact_30d,fraud_flag_30d
M001346,Merchant Launchpad,0,0,0
M001347,Control,0,0,0
M001354,Merchant Launchpad,1,0,0
M001369,Control,0,0,0
M001371,Merchant Launchpad,1,0,0
M001375,Control,1,0,0
M001376,Control,0,1,0
M001377,Control,1,0,0
M001378,Control,1,0,0
M001381,Merchant Launchpad,0,0,0
M001384,Control,0,0,0
M001389,Merchant Launchpad,0,0,0
M001390,Control,1,0,0
M001393,Merchant Launchpad,1,0,0
M001401,Merchant Launchpad,0,0,0
M001408,Merchant Launchpad,0,0,0
M001414,Control,0,0,0
M001416,Merchant Launchpad,1,0,0
M001419,Control,1,0,0
M001421,Merchant Launchpad,1,0,0
M001422,Control,1,0,0
M001426,Control,1,1,0
M001428,Merchant Launchpad,0,0,0
M001430,Merchant Launchpad,0,0,0
M001440,Control,0,0,0
M001441,Merchant Launchpad,0,0,0
M001443,Control,0,0,0
M001447,Control,0,0,0
M001448,Control,0,0,0
M001457,Control,0,0,0
M001461,Control,1,0,0
M001465,Merchant Launchpad,0,0,0
M001469,Merchant Launchpad,0,0,0
M001471,Control,0,1,0
M001475,Control,0,0,0
M001486,Merchant Launchpad,0,0,0
M001498,Control,1,0,0
M001500,Control,1,0,0
M001507,Control,0,0,0
M001509,Control,0,0,0
M001516,Merchant Launchpad,0,0,0
M001521,Merchant Launchpad,0,0,0
M001530,Merchant Launchpad,0,0,0
M001533,Merchant Launchpad,0,0,0
M001535,Merchant Launchpad,1,0,0
M001548,Merchant Launchpad,0,0,0
M001552,Control,0,0,0
M001557,Merchant Launchpad,0,0,0
M001558,Control,0,1,1
M001559,Control,0,1,0
M001560,Merchant Launchpad,0,0,0
M001564,Control,1,0,0
M001567,Control,0,0,0
M001569,Merchant Launchpad,0,0,0
M001570,Merchant Launchpad,1,0,0
M001574,Control,0,1,0
M001578,Control,1,0,0
M001587,Control,1,0,0
M001589,Control,0,0,0
M001599,Control,1,0,0
M001603,Merchant Launchpad,1,0,0
M001606,Control,0,0,0
M001611,Merchant Launchpad,0,0,0
M001617,Control,1,1,0
M001620,Merchant Launchpad,0,0,0
M001623,Control,0,1,0
M001626,Control,1,0,0
M001632,Merchant Launchpad,0,0,0
M001634,Control,1,0,0
M001649,Control,0,0,0
M001650,Control,0,0,0
M001657,Merchant Launchpad,0,0,0
M001658,Control,0,0,0
M001659,Merchant Launchpad,0,1,0
M001667,Control,1,0,0
M001671,Merchant Launchpad,0,0,0
M001674,Control,1,0,0
M001676,Merchant Launchpad,1,1,0
M001679,Control,0,0,0
M001681,Merchant Launchpad,0,0,0
M001684,Control,1,0,0
M001689,Merchant Launchpad,0,0,0
M001691,Control,0,0,0
M001692,Merchant Launchpad,0,0,0
M001700,Merchant Launchpad,0,1,0
M001705,Merchant Launchpad,0,0,0
M001706,Control,0,0,0
M001707,Control,0,0,0
M001708,Control,1,0,0
M001713,Merchant Launchpad,1,0,0
M001716,Merchant Launchpad,0,0,0
M001726,Merchant Launchpad,0,1,0
M001727,Merchant Launchpad,0,0,0
M001731,Merchant Launchpad,0,0,0
M001732,Control,1,0,0
M001734,Merchant Launchpad,0,0,0
M001735,Merchant Launchpad,0,0,0
M001736,Merchant Launchpad,1,0,0
M001746,Control,0,0,0
M001747,Merchant Launchpad,0,0,0
M001749,Merchant Launchpad,1,0,0
M001751,Control,0,0,0
M001752,Control,0,0,0
M001766,Merchant Launchpad,1,0,0
M001775,Merchant Launchpad,0,0,0
M001784,Merchant Launchpad,0,0,0
M001790,Control,0,0,0
M001792,Merchant Launchpad,0,0,0
M001797,Merchant Launchpad,1,0,0
M001810,Merchant Launchpad,0,0,0
M001815,Control,1,0,0
M001822,Control,0,0,0
M001824,Merchant Launchpad,0,0,0
M001825,Control,1,0,0
M001826,Control,1,0,0
M001828,Control,0,0,0
M001830,Control,0,0,0
M001832,Merchant Launchpad,1,1,0
M001837,Merchant Launchpad,1,0,0
M001843,Merchant Launchpad,0,0,0
M001844,Merchant Launchpad,0,0,0
M001856,Merchant Launchpad,0,0,0
M001863,Merchant Launchpad,0,1,0
M001865,Control,0,0,0
M001868,Merchant Launchpad,0,0,0
M001870,Merchant Launchpad,1,1,0
M001874,Control,1,1,0
M001878,Merchant Launchpad,0,0,0
M001884,Merchant Launchpad,0,0,0
M001893,Control,0,0,0
M001896,Merchant Launchpad,0,0,0
M001898,Merchant Launchpad,1,0,0
M001910,Control,0,0,0
M001912,Merchant Launchpad,1,0,0
M001914,Merchant Launchpad,1,0,0
M001923,Control,1,0,0
M001930,Merchant Launchpad,0,0,0
M001933,Merchant Launchpad,0,0,0
M001934,Control,1,1,0
M001939,Control,1,0,0
M001943,Merchant Launchpad,0,0,0
M001948,Merchant Launchpad,0,0,0
M001951,Control,1,0,0
M001955,Control,1,0,0
M001961,Control,0,0,0
M001962,Merchant Launchpad,1,1,0
M001964,Control,0,0,0
M001965,Merchant Launchpad,0,0,0
M001969,Merchant Launchpad,1,0,0
M001971,Merchant Launchpad,0,0,0
M001972,Control,1,0,0
M001977,Merchant Launchpad,1,0,0
M001980,Merchant Launchpad,1,0,0
M001984,Control,1,0,0
M001986,Control,0,1,0
M001987,Merchant Launchpad,0,0,0
M001990,Control,1,0,0
M001995,Control,1,1,0
M001998,Control,0,0,0
M002001,Merchant Launchpad,1,0,0
M002005,Control,0,1,0
M002009,Merchant Launchpad,1,0,0
M002014,Control,0,0,0
M002028,Merchant Launchpad,0,0,0
M002035,Merchant Launchpad,1,0,0
M002036,Merchant Launchpad,0,0,0
M002039,Merchant Launchpad,0,1,0
M002042,Merchant Launchpad,0,0,0
M002046,Merchant Launchpad,0,0,0
M002049,Merchant Launchpad,0,0,0
M002054,Control,1,0,0
M002061,Control,0,0,0
M002068,Control,1,0,0
M002081,Control,0,0,0
M002091,Control,1,0,0
M002093,Control,0,0,0
M002096,Control,1,0,0
M002097,Merchant Launchpad,0,1,0
M002098,Control,0,0,0
M002099,Control,0,0,0
M002101,Control,0,0,0
M002105,Control,0,0,0
M002107,Merchant Launchpad,1,0,0
M002113,Merchant Launchpad,0,1,0
M002114,Merchant Launchpad,1,0,0
M002117,Merchant Launchpad,0,1,0
M002121,Merchant Launchpad,1,0,0
M002122,Merchant Launchpad,0,0,0
M002132,Merchant Launchpad,1,1,0
M002142,Merchant Launchpad,1,0,0
M002143,Control,0,0,0
M002148,Merchant Launchpad,1,0,0
M002149,Control,1,0,0
M002150,Control,1,1,0
M002153,Merchant Launchpad,1,0,0
M002159,Control,0,1,0
M002161,Merchant Launchpad,0,0,0
M002164,Control,0,0,0
M002165,Control,0,1,0
M002166,Control,0,0,0
M002168,Merchant Launchpad,1,0,0
M002169,Control,0,0,0
M002170,Merchant Launchpad,1,0,0
M002173,Merchant Launchpad,0,0,0
M002174,Merchant Launchpad,1,0,0
M002176,Control,1,1,0
M002196,Control,1,0,0
M002198,Control,0,1,0
M002206,Control,0,0,0
M002208,Control,0,0,0
M002212,Merchant Launchpad,0,1,0
M002218,Merchant Launchpad,0,0,0
M002221,Merchant Launchpad,0,0,0
M002227,Control,0,0,0
M002228,Merchant Launchpad,0,0,0
M002230,Control,0,0,0
M002233,Control,0,1,0
M002236,Control,0,1,0
M002240,Merchant Launchpad,0,0,0
M002246,Merchant Launchpad,1,0,0
M002257,Merchant Launchpad,0,0,0
M002260,Merchant Launchpad,0,1,0
M002262,Merchant Launchpad,0,0,0
M002270,Merchant Launchpad,1,0,0
M002281,Merchant Launchpad,0,0,0
M002284,Merchant Launchpad,1,0,0
M002286,Merchant Launchpad,0,0,0
M002287,Merchant Launchpad,0,1,0
M002288,Merchant Launchpad,0,0,0
M002289,Merchant Launchpad,1,0,0
M002296,Control,0,0,0
M002300,Merchant Launchpad,0,0,0
M002304,Control,0,0,0
M002305,Control,0,0,0
M002319,Control,1,0,0
M002320,Control,0,0,0
M002326,Merchant Launchpad,1,0,0
M002332,Control,0,0,0
M002334,Control,1,0,0
M002338,Control,1,0,0
M002348,Control,0,0,0
M002362,Control,1,0,0
M002363,Control,1,0,0
M002365,Control,0,1,0
M002372,Control,1,0,0
M002376,Merchant Launchpad,1,1,0
M002377,Merchant Launchpad,1,0,0
M002379,Merchant Launchpad,1,0,0
M002383,Merchant Launchpad,0,0,0
M002386,Control,0,1,0
M002387,Control,0,0,0
M002388,Merchant Launchpad,1,0,0
M002389,Merchant Launchpad,0,1,0
M002390,Merchant Launchpad,0,0,0
M002397,Merchant Launchpad,0,0,0
M002406,Control,0,0,0
M002413,Merchant Launchpad,1,0,0
M002422,Control,1,1,0
M002424,Control,0,0,0
M002429,Control,0,0,0
M002439,Control,0,0,0
M002446,Merchant Launchpad,1,0,0
M002447,Control,1,0,0
M002449,Merchant Launchpad,1,0,0
M002451,Merchant Launchpad,0,0,0
M002452,Control,1,0,0
M002455,Merchant Launchpad,1,0,0
M002457,Merchant Launchpad,0,0,0
M002458,Control,0,1,0
M002471,Merchant Launchpad,0,1,0
M002482,Control,0,1,0
M002493,Control,1,0,0
M002497,Merchant Launchpad,0,0,0
M002498,Control,0,0,0
M002500,Merchant Launchpad,0,0,0
M002503,Control,1,1,0
M002512,Control,0,0,0
M002513,Control,1,0,0
M002514,Control,0,0,0
M002516,Merchant Launchpad,0,0,0
M002520,Control,0,0,0
M002528,Merchant Launchpad,0,0,0
M002531,Merchant Launchpad,0,0,0
M002532,Merchant Launchpad,0,0,0
M002533,Merchant Launchpad,0,0,0
M002535,Merchant Launchpad,0,1,0
M002536,Merchant Launchpad,1,0,0
M002542,Merchant Launchpad,0,0,0
M002543,Merchant Launchpad,1,0,0
M002545,Merchant Launchpad,1,0,0
M002547,Merchant Launchpad,0,0,0
M002555,Control,0,0,0
M002557,Merchant Launchpad,1,0,0
M002558,Merchant Launchpad,0,0,0
M002567,Merchant Launchpad,0,0,0
M002570,Merchant Launchpad,0,0,0
M002571,Merchant Launchpad,1,0,0
M002572,Control,0,1,0
M002575,Merchant Launchpad,0,0,0
M002579,Control,0,0,0
M002589,Control,0,0,0
M002599,Merchant Launchpad,0,1,0
M002601,Control,1,0,0
M002603,Merchant Launchpad,1,0,0
M002605,Control,1,1,0
M002606,Control,0,0,0
M002610,Merchant Launchpad,0,0,0
M002611,Control,0,0,0
M002612,Control,0,1,0
M002617,Control,0,0,0
M002620,Control,0,0,0
M002621,Control,0,0,0
M002624,Control,0,0,0
M002625,Merchant Launchpad,1,0,0
M002627,Control,0,0,0
M002631,Merchant Launchpad,1,0,0
M002633,Control,0,0,0
M002640,Merchant Launchpad,1,0,0
M002648,Control,1,0,0
M002649,Merchant Launchpad,0,0,0
M002651,Merchant Launchpad,0,0,0
M002652,Control,1,0,0
M002653,Control,1,0,0
M002655,Control,1,0,0
M002662,Control,1,0,0
M002668,Control,0,0,0
M002670,Control,0,0,0
M002671,Merchant Launchpad,0,0,0
M002672,Merchant Launchpad,0,0,0
M002673,Control,1,0,0
M002675,Merchant Launchpad,1,0,0
M002677,Merchant Launchpad,1,0,0
M002678,Merchant Launchpad,0,0,0
M002684,Merchant Launchpad,0,0,0
M002690,Control,1,0,0
M002693,Merchant Launchpad,0,0,0
M002695,Merchant Launchpad,1,0,0
M002701,Merchant Launchpad,0,0,0
M002702,Merchant Launchpad,1,1,0
M002704,Merchant Launchpad,1,0,0
M002710,Control,1,0,0
M002713,Merchant Launchpad,1,0,0
M002725,Merchant Launchpad,0,0,0
M002731,Control,1,0,0
M002733,Merchant Launchpad,0,0,0
M002744,Merchant Launchpad,1,0,0
M002748,Merchant Launchpad,0,0,0
M002750,Control,0,0,0
M002755,Control,0,0,0
M002756,Control,0,0,0
M002757,Control,0,0,0
M002768,Control,0,0,0
M002770,Merchant Launchpad,1,0,0
M002778,Control,0,0,0
M002782,Merchant Launchpad,0,0,0
M002783,Merchant Launchpad,1,0,0
M002784,Merchant Launchpad,1,1,0
M002785,Merchant Launchpad,0,0,0
M002790,Control,1,1,0
M002791,Control,1,0,0
M002796,Control,1,0,0
M002797,Control,0,0,0
M002801,Merchant Launchpad,0,1,0
M002803,Merchant Launchpad,0,0,0
M002806,Control,0,0,0
M002809,Control,0,0,0
M002814,Control,0,0,0
M002818,Merchant Launchpad,1,0,0
M002822,Control,1,0,0
M002824,Control,0,0,0
M002826,Merchant Launchpad,0,0,0
M002828,Control,0,0,0
M002831,Control,1,0,0
M002832,Merchant Launchpad,1,0,0
M002837,Control,0,0,0
M002838,Merchant Launchpad,0,0,0
M002840,Control,0,0,0
M002843,Control,0,0,0
M002847,Control,0,0,0
M002858,Control,0,0,0
M002862,Merchant Launchpad,0,0,0
M002863,Merchant Launchpad,1,0,0
M002869,Merchant Launchpad,0,0,0
M002872,Merchant Launchpad,1,0,0
M002873,Control,0,0,0
M002878,Merchant Launchpad,0,1,0
M002879,Merchant Launchpad,0,0,0
M002880,Merchant Launchpad,0,0,0
M002887,Merchant Launchpad,1,0,0
M002894,Control,0,0,0
M002899,Control,0,0,0
M002902,Control,1,0,0
M002903,Merchant Launchpad,1,0,0
M002906,Control,0,0,0
M002908,Merchant Launchpad,0,0,0
M002918,Control,1,0,0
M002919,Merchant Launchpad,1,0,0
M002922,Control,0,1,0
M002935,Merchant Launchpad,1,0,0
M002937,Control,0,0,0
M002939,Merchant Launchpad,1,0,0
M002942,Merchant Launchpad,0,0,0
M002943,Control,0,0,0
M002945,Merchant Launchpad,1,0,0
M002953,Merchant Launchpad,0,0,0
M002956,Control,0,1,0
M002961,Merchant Launchpad,0,0,0
M002963,Control,1,0,0
M002974,Merchant Launchpad,0,0,0
M002978,Control,0,0,0
M002983,Merchant Launchpad,1,0,0
M002984,Control,1,0,0
M002988,Control,0,0,0
M002989,Control,0,0,0
M002994,Control,0,0,0
M002995,Control,0,0,0
M003001,Merchant Launchpad,0,0,0
M003003,Control,1,0,0
M003004,Control,0,1,0
M003010,Control,0,0,0
M003030,Merchant Launchpad,0,1,0
M003036,Merchant Launchpad,0,0,0
M003037,Merchant Launchpad,1,0,0
M003046,Merchant Launchpad,1,1,0
M003048,Control,0,0,0
M003051,Control,1,0,0
M003053,Control,0,0,0
M003055,Merchant Launchpad,1,0,0
M003057,Control,0,1,0
M003067,Control,0,0,0
M003074,Control,1,0,0
M003078,Control,0,0,0
M003082,Merchant Launchpad,0,0,0
M003095,Merchant Launchpad,0,0,0
M003096,Control,0,0,0
M003107,Control,0,0,0
M003109,Control,1,0,0
M003112,Control,0,0,0
M003114,Control,0,0,0
M003120,Merchant Launchpad,0,0,0
M003122,Merchant Launchpad,1,0,0
M003126,Merchant Launchpad,1,0,0
M003127,Control,1,0,0
M003128,Control,0,0,0
M003130,Control,1,0,0
M003133,Merchant Launchpad,1,0,0
M003145,Merchant Launchpad,0,0,0
M003148,Merchant Launchpad,1,0,0
M003149,Control,0,0,0
M003154,Merchant Launchpad,0,0,0
M003156,Control,1,1,0
M003157,Control,0,0,0
M003158,Control,0,0,0
M003160,Control,1,0,0
M003162,Control,0,0,0
M003169,Merchant Launchpad,1,0,0
M003172,Merchant Launchpad,0,1,0
M003175,Control,1,1,0
M003186,Merchant Launchpad,0,1,0
M003187,Control,1,0,0
M003190,Control,0,0,0
M003198,Control,0,0,0
M003199,Merchant Launchpad,1,0,0
M003201,Control,0,0,0
M003202,Control,0,0,0
M003203,Control,0,0,0
M003207,Merchant Launchpad,1,0,0
M003208,Merchant Launchpad,0,0,0
M003211,Control,0,1,0
M003214,Control,1,1,0
M003219,Control,0,0,0
M003223,Merchant Launchpad,1,1,0
M003224,Merchant Launchpad,0,0,0
M003226,Merchant Launchpad,0,0,0
M003230,Merchant Launchpad,0,1,0
M003231,Control,1,0,0
M003238,Merchant Launchpad,0,0,0
M003239,Control,1,0,0
M003243,Control,0,1,0
M003246,Merchant Launchpad,0,0,0
M003247,Merchant Launchpad,1,0,0
M003264,Control,1,0,0
M003270,Control,0,0,0
M003276,Control,1,0,0
M003279,Merchant Launchpad,0,1,0
M003282,Control,0,0,0
M003283,Control,0,0,0
M003296,Control,1,0,0
M003298,Control,1,0,0
M003300,Merchant Launchpad,1,1,0
M003310,Merchant Launchpad,0,0,0
M003313,Merchant Launchpad,0,0,0
